AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0238,[1.00],[M/H],Kwetsbaarheid verholpen in Microsoft Dynamics,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0238,2026-07-14
NCSC-2026-0237,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Office,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0237,2026-07-14
NCSC-2026-0236,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Defender,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0236,2026-07-14
NCSC-2026-0235,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Developer Tools,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0235,2026-07-14
NCSC-2026-0234,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Exchange,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0234,2026-07-14
NCSC-2026-0233,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Azure,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0233,2026-07-14
NCSC-2026-0232,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft SQL Server,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0232,2026-07-14
NCSC-2026-0231,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Windows,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0231,2026-07-14
NCSC-2026-0230,[1.00],[M/H],Kwetsbaarheden verholpen in SAP-producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0230,2026-07-14
NCSC-2026-0229,[1.00],[M/H],Kwetsbaarheden verholpen in Siemens producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0229,2026-07-14
